LA_female,FA_female,publication_month,publication_year,i_covid,n_authors,journal_id,log_altmetric,log_cites,log_twitter_all,log_twitter_scientist,log_twitter_commun,log_twitter_public,log_twitter_pract,log_news,log_policy,log_wiki,log_blogs,gender_combination,gender_combo
0,0,3,2015,0,12,JOURNAL OF THE AMERICAN COLLEGE OF CARDIOLOGY,2.1400661,5.2040067,1.3862944,0,0,1.0986123,.69314718,0,1.0986123,0,0,men first and last,men first and last
0,0,3,2015,0,23,JOURNAL OF THE AMERICAN COLLEGE OF CARDIOLOGY,2.8535924,5.3844953,2.0794415,1.6094379,0,1.3862944,0,.69314718,.69314718,0,0,men first and last,men first and last
0,0,3,2015,0,11,JOURNAL OF THE AMERICAN COLLEGE OF CARDIOLOGY,3.8596766,4.4067192,3.0910425,.69314718,0,2.7080503,1.3862944,1.6094379,0,.69314718,0,men first and last,men first and last
1,0,2,2015,0,2,CIRCULATION RESEARCH,.81093019,1.6094379,1.0986123,0,.69314718,.69314718,0,0,0,0,0,mixed gender team,mixed gender team
0,0,2,2015,0,5,CIRCULATION RESEARCH,2.8332133,2.7725887,1.0986123,0,.69314718,.69314718,0,.69314718,1.0986123,0,0,men first and last,men first and last
0,1,2,2015,0,8,CIRCULATION RESEARCH,0,3.3322046,0,0,0,0,0,0,0,0,0,mixed gender team,mixed gender team
0,,3,2015,0,4,CIRCULATION RESEARCH,.69314718,3.4965076,1.0986123,0,.69314718,.69314718,0,0,0,0,0,,
1,1,3,2015,0,9,CIRCULATION RESEARCH,3.0293605,5.1704841,1.6094379,.69314718,.69314718,.69314718,0,.69314718,0,0,.69314718,women first and last,women first and last
0,0,3,2015,0,14,CIRCULATION,1.9459101,5.0562458,2.6390574,1.6094379,0,2.1972246,0,0,0,0,0,men first and last,men first and last
0,1,3,2015,0,17,CIRCULATION RESEARCH,.22314355,3.1780539,1.3862944,0,0,.69314718,0,0,0,0,0,mixed gender team,mixed gender team
0,0,3,2015,0,5,JOURNAL OF THE AMERICAN COLLEGE OF CARDIOLOGY,3.2676661,3.8501475,1.3862944,0,0,1.3862944,0,1.6094379,0,0,0,men first and last,men first and last
0,0,3,2015,0,9,JOURNAL OF THE AMERICAN COLLEGE OF CARDIOLOGY,3.3690186,5.3082676,3.0910425,1.0986123,0,2.7080503,1.7917595,.69314718,0,1.0986123,0,men first and last,men first and last
0,0,3,2015,0,17,JOURNAL OF THE AMERICAN COLLEGE OF CARDIOLOGY,2.5915165,4.9628448,3.0445225,.69314718,.69314718,2.7725887,1.3862944,0,0,0,0,men first and last,men first and last
0,0,3,2015,0,21,JOURNAL OF THE AMERICAN COLLEGE OF CARDIOLOGY,2.6210389,4.3307333,2.1972246,.69314718,0,1.6094379,1.0986123,.69314718,0,0,0,men first and last,men first and last
1,1,3,2015,0,7,JOURNAL OF THE AMERICAN COLLEGE OF CARDIOLOGY,2.7880929,4.7706847,2.6390574,1.3862944,1.0986123,1.7917595,1.0986123,.69314718,0,0,0,women first and last,women first and last
0,0,3,2015,0,5,CIRCULATION,1.8325815,2.5649493,1.7917595,.69314718,0,1.0986123,.69314718,0,.69314718,0,0,men first and last,men first and last
0,0,3,2015,0,17,CIRCULATION,4.2214174,4.3174882,4.4773369,1.6094379,0,4.0775375,2.8903718,.69314718,0,0,.69314718,men first and last,men first and last
0,0,3,2015,0,19,CIRCULATION,1.6956156,4.2626801,2.0794415,1.0986123,0,1.6094379,0,0,0,0,0,men first and last,men first and last
0,1,3,2015,0,3,CIRCULATION,3.7716107,3.3672957,2.5649493,1.6094379,.69314718,2.0794415,0,1.3862944,0,0,1.0986123,mixed gender team,mixed gender team
